Date,Open,High,Low,Close,Volume,Adj Close
2023-01-25,7072.490234,7085.540039,7047.72998,7081.359863,138900,7081.359863
2023-01-24,7065.600098,7137.620117,7039.049805,7041.5,252700,7041.5
2023-01-23,7051.459961,7069.680176,7003.419922,7069.680176,97900,7069.680176
2023-01-20,7056.430176,7063.5,7035.649902,7056.620117,117100,7056.620117
2023-01-19,7049.799805,7083.870117,7043.899902,7062.009766,194100,7062.009766
2023-01-18,7008.069824,7094.859863,6967.870117,7094.859863,178900,7094.859863
2023-01-17,7041.060059,7046.450195,6952.790039,7014.040039,192700,7014.040039
2023-01-16,6966,7132.100098,6966,7045.47998,258100,7045.47998
2023-01-13,6833.759766,6959.629883,6816.419922,6951.540039,238400,6951.540039
2023-01-12,6723.529785,6833.529785,6723.529785,6833.529785,200000,6833.529785
2023-01-11,6764.680176,6774.470215,6709.339844,6709.339844,209800,6709.339844
2023-01-10,6783.399902,6783.399902,6740.029785,6756.689941,153900,6756.689941
2023-01-09,6692.299805,6790.240234,6685.069824,6790.240234,150100,6790.240234
2023-01-06,6736.649902,6736.649902,6666.680176,6667.970215,136700,6667.970215
2023-01-05,6738.930176,6767.049805,6730.52002,6761.330078,167200,6761.330078
2023-01-04,6601.5,6755.27002,6601.5,6718.5,209900,6718.5
2023-01-03,6555.399902,6624.759766,6550.169922,6586.009766,84400,6586.009766
